"日期","收支类型","类别","账户","金额","备注"
"2026年06月27日","收入","其它","未关联","20","共创"
"2026年06月27日","支出","餐饮","未关联","16.5","午餐"
"2026年06月27日","支出","购物","未关联","18","买鲨鱼记账会员导出数据"
"2026年06月27日","收入","代剪","未关联","15",""
"2026年06月26日","收入","其它","未关联","35","共创"
"2026年06月26日","支出","餐饮","未关联","15.7","午餐"
"2026年06月26日","支出","餐饮","未关联","12.9","晚餐"
"2026年06月26日","支出","餐饮","未关联","6","夜宵"
"2026年06月25日","支出","餐饮","未关联","4.5","早餐"
"2026年06月25日","支出","餐饮","未关联","12","午餐"
"2026年06月25日","支出","交通","未关联","4.6","打车"
"2026年06月24日","收入","素材群","未关联","20",""
"2026年06月24日","支出","餐饮","未关联","81.3","烤肉自助"
"2026年06月24日","支出","餐饮","未关联","21.1","晚餐"
"2026年06月23日","支出","餐饮","未关联","4","早餐"
"2026年06月23日","支出","餐饮","未关联","18","午餐"
"2026年06月23日","支出","餐饮","未关联","3","冰棒"
"2026年06月23日","支出","交通","未关联","0.9","小白"
"2026年06月23日","支出","餐饮","未关联","10","西瓜"
"2026年06月23日","支出","餐饮","未关联","12","晚餐"
"2026年06月22日","支出","餐饮","未关联","4","早餐"
"2026年06月22日","支出","交通","未关联","1","小白"
"2026年06月22日","支出","餐饮","未关联","18","午餐"
"2026年06月22日","支出","餐饮","未关联","3","冰棒"
"2026年06月22日","支出","交通","未关联","0.9","小白"
"2026年06月22日","支出","餐饮","未关联","17.8","晚餐"
"2026年06月22日","支出","购物","未关联","48.75","买课设"
"2026年06月22日","支出","餐饮","未关联","3.99","水"
"2026年06月21日","支出","餐饮","未关联","4.5","冰棒"
"2026年06月21日","支出","购物","未关联","99.8","父亲节买衣服内裤"
"2026年06月21日","支出","餐饮","未关联","15.08","晚餐"
"2026年06月20日","支出","餐饮","未关联","7","夜宵"
"2026年06月20日","支出","餐饮","未关联","28","夜宵"
"2026年06月19日","支出","餐饮","未关联","10.9","早餐"
"2026年06月19日","收入","代剪","未关联","30",""
"2026年06月19日","支出","购物","未关联","5.8","键盘清洁"
"2026年06月18日","支出","餐饮","未关联","4","早餐"
"2026年06月18日","支出","餐饮","未关联","4","水"
"2026年06月18日","支出","餐饮","未关联","12","午餐"
"2026年06月18日","收入","其它","未关联","3","卖书"
"2026年06月18日","支出","日用","未关联","5.9","买codex"
"2026年06月18日","支出","餐饮","未关联","7","晚餐"
"2026年06月18日","支出","餐饮","未关联","10.9","奶茶"
"2026年06月18日","支出","交通","未关联","6.5","车费"
"2026年06月18日","支出","日用","未关联","5.9","买codex"
"2026年06月17日","支出","餐饮","未关联","3.5","糯米鸡"
"2026年06月17日","支出","日用","未关联","0.3","打印"
"2026年06月17日","支出","餐饮","未关联","12","午餐"
"2026年06月17日","支出","购物","未关联","28","买永劫皮肤"
"2026年06月17日","支出","餐饮","未关联","13.1","晚餐"
"2026年06月17日","支出","日用","未关联","15","电费"
"2026年06月17日","支出","餐饮","未关联","6","夜宵"
"2026年06月16日","支出","交通","未关联","13.56","打车"
"2026年06月16日","支出","医疗","未关联","61.48","看病买消炎药"
"2026年06月16日","支出","餐饮","未关联","14","晚餐"
"2026年06月16日","支出","日用","未关联","5","打印"
"2026年06月16日","支出","餐饮","未关联","5.9","牛奶"
"2026年06月16日","支出","餐饮","未关联","6","夜宵"
"2026年06月15日","支出","餐饮","未关联","4","早餐"
"2026年06月15日","支出","餐饮","未关联","12","午餐"
"2026年06月15日","收入","其它","未关联","15",""
"2026年06月15日","支出","餐饮","未关联","16.8","晚餐"
"2026年06月14日","支出","餐饮","未关联","15.8","午餐"
"2026年06月14日","支出","餐饮","未关联","15.28","晚餐"
"2026年06月14日","支出","餐饮","未关联","3","冰棒"
"2026年06月14日","支出","购物","未关联","50","买deepseek"
"2026年06月13日","支出","餐饮","未关联","13.7","午餐"
"2026年06月13日","支出","日用","未关联","3.5","打印"
"2026年06月13日","支出","餐饮","未关联","4.5","冰棒"
"2026年06月13日","支出","餐饮","未关联","18.5",""
"2026年06月13日","支出","餐饮","未关联","17.3","夜宵"
"2026年06月12日","支出","餐饮","未关联","6","早餐"
"2026年06月12日","支出","购物","未关联","8.14","坐垫"
"2026年06月12日","支出","餐饮","未关联","3.99","水"
"2026年06月12日","支出","餐饮","未关联","18","晚餐"
"2026年06月12日","支出","餐饮","未关联","12","午餐"
"2026年06月12日","支出","交通","未关联","4.5","打车"
"2026年06月12日","支出","交通","未关联","1","公交"
"2026年06月12日","支出","餐饮","未关联","12.9","晚餐"
"2026年06月11日","支出","餐饮","未关联","3.5","早餐"
"2026年06月11日","支出","餐饮","未关联","12","晚餐"
"2026年06月11日","支出","餐饮","未关联","12.5","购买零食"
"2026年06月11日","支出","餐饮","未关联","11.9","午餐"
"2026年06月10日","支出","餐饮","未关联","3.5","早餐"
"2026年06月10日","支出","餐饮","未关联","16.8","午餐"
"2026年06月10日","支出","餐饮","未关联","17.7","奶茶"
"2026年06月10日","支出","餐饮","未关联","7","晚餐"
"2026年06月10日","支出","餐饮","未关联","5","晚餐"
"2026年06月10日","支出","购物","未关联","61.61","买护腰坐垫"
"2026年06月09日","支出","餐饮","未关联","3.5","早餐"
"2026年06月09日","支出","餐饮","未关联","15","午餐"
"2026年06月09日","支出","日用","未关联","18","水费"
"2026年06月09日","支出","餐饮","未关联","10.9","奶茶"
"2026年06月09日","支出","餐饮","未关联","12","晚餐"
"2026年06月08日","支出","餐饮","未关联","4","早餐"
"2026年06月08日","支出","餐饮","未关联","12","午餐"
"2026年06月08日","收入","代剪","未关联","35",""
"2026年06月08日","支出","餐饮","未关联","13","晚餐"
"2026年06月08日","支出","餐饮","未关联","5","冰棒"
"2026年06月08日","支出","餐饮","未关联","15.9","炖奶"
"2026年06月07日","支出","餐饮","未关联","16","午餐"
"2026年06月07日","支出","餐饮","未关联","20.38","晚餐"
"2026年06月06日","支出","餐饮","未关联","13.9","午餐"
"2026年06月06日","支出","餐饮","未关联","18","奶茶"
"2026年06月06日","收入","代剪","未关联","20",""
"2026年06月06日","收入","代剪","未关联","20",""
"2026年06月06日","支出","餐饮","未关联","18","晚餐"
"2026年06月05日","支出","餐饮","未关联","4","早餐"
"2026年06月05日","支出","交通","未关联","0.9","小白"
"2026年06月05日","支出","餐饮","未关联","5","夜宵"
"2026年06月04日","支出","餐饮","未关联","4","早餐"
"2026年06月04日","支出","餐饮","未关联","31.4","午餐"
"2026年06月04日","支出","餐饮","未关联","3.99","水"
"2026年06月04日","支出","餐饮","未关联","4","水"
"2026年06月03日","支出","日用","未关联","0.8","打印"
"2026年06月03日","支出","餐饮","未关联","12","午餐"
"2026年06月03日","支出","餐饮","未关联","3.99","水"
"2026年06月03日","支出","日用","未关联","15","电费"
"2026年06月03日","支出","日用","未关联","16.15","寄邮"
"2026年06月03日","支出","餐饮","未关联","5","冰棒"
"2026年06月03日","支出","餐饮","未关联","10.5","晚餐"
"2026年06月02日","支出","餐饮","未关联","12","午餐"
"2026年06月02日","支出","餐饮","未关联","19.8","晚餐"
"2026年06月02日","支出","餐饮","未关联","6","水"
"2026年06月02日","支出","日用","未关联","0.4","打印"
"2026年06月01日","支出","餐饮","未关联","7","早餐"
"2026年06月01日","支出","餐饮","未关联","12","午餐"
"2026年06月01日","收入","代剪","未关联","35",""
"2026年06月01日","支出","餐饮","未关联","2","冰棒"
"2026年05月31日","支出","餐饮","未关联","20.96","午餐"
"2026年05月31日","支出","餐饮","未关联","16","晚餐"
"2026年05月30日","支出","交通","未关联","40","打车"
"2026年05月30日","支出","餐饮","未关联","9","早餐"
"2026年05月30日","支出","餐饮","未关联","11","午餐"
"2026年05月30日","支出","日用","未关联","10","体检"
"2026年05月30日","支出","餐饮","未关联","10","晚餐"
"2026年05月29日","支出","交通","未关联","17.4","打车"
"2026年05月29日","支出","医疗","未关联","155.23","体检"
"2026年05月29日","支出","交通","未关联","21.13","打车"
"2026年05月29日","支出","餐饮","未关联","11","午餐"
"2026年05月29日","支出","交通","未关联","36.94","打车"
"2026年05月29日","支出","餐饮","未关联","5","晚餐"
"2026年05月29日","支出","餐饮","未关联","4","水"
"2026年05月28日","收入","其它","未关联","15",""
"2026年05月28日","支出","餐饮","未关联","14.2","午餐"
"2026年05月28日","支出","餐饮","未关联","2","早餐"
"2026年05月28日","支出","餐饮","未关联","12.4","晚餐"
"2026年05月28日","收入","代剪","未关联","25",""
"2026年05月27日","支出","餐饮","未关联","12.2","午餐"
"2026年05月27日","支出","交通","未关联","0.9","小白"
"2026年05月26日","支出","餐饮","未关联","12","午餐"
"2026年05月26日","收入","其它","未关联","13.14",""
"2026年05月26日","支出","餐饮","未关联","12","晚餐"
"2026年05月25日","支出","交通","未关联","0.9","小白"
"2026年05月25日","支出","餐饮","未关联","21.9","午餐"
"2026年05月25日","支出","购物","未关联","35.9","买牛奶"
"2026年05月25日","支出","餐饮","未关联","20.9","晚餐"
"2026年05月25日","支出","购物","未关联","29.9","买酸辣粉"
"2026年05月24日","收入","其它","未关联","2",""
"2026年05月24日","支出","餐饮","未关联","4","早餐"
"2026年05月24日","支出","餐饮","未关联","6","午餐"
"2026年05月24日","支出","餐饮","未关联","12","晚餐"
"2026年05月24日","支出","餐饮","未关联","5.5","晚餐"
"2026年05月24日","支出","交通","未关联","1","公交"
"2026年05月24日","支出","餐饮","未关联","13.48","奶茶"
"2026年05月23日","支出","餐饮","未关联","15","午餐"
"2026年05月23日","支出","日用","未关联","15","电费"
"2026年05月23日","支出","日用","未关联","25","理发"
"2026年05月23日","支出","餐饮","未关联","15.4","晚餐"
"2026年05月23日","支出","餐饮","未关联","5","冰棒"
"2026年05月22日","支出","交通","未关联","0.9",""
"2026年05月22日","支出","日用","未关联","0.6","打印"
"2026年05月22日","支出","餐饮","未关联","3","冰棒"
"2026年05月22日","支出","交通","未关联","36.44","打车"
"2026年05月22日","支出","餐饮","未关联","45","晚餐"
"2026年05月22日","支出","交通","未关联","16.28","打车"
"2026年05月22日","支出","交通","未关联","10.89","打车"
"2026年05月22日","支出","交通","未关联","6","地铁"
"2026年05月21日","支出","餐饮","未关联","2","早餐"
"2026年05月21日","支出","餐饮","未关联","12","午餐"
"2026年05月21日","支出","餐饮","未关联","24.6","晚餐"
"2026年05月20日","支出","餐饮","未关联","4","早餐"
"2026年05月20日","支出","餐饮","未关联","12","午餐"
"2026年05月20日","支出","餐饮","未关联","3","冰棒"
"2026年05月20日","支出","餐饮","未关联","16.1","奶茶"
"2026年05月20日","支出","餐饮","未关联","10.5","晚餐"
"2026年05月20日","收入","其它","未关联","2","好评"
"2026年05月19日","支出","餐饮","未关联","4","早餐"
"2026年05月19日","支出","餐饮","未关联","23.8","午餐"
"2026年05月19日","支出","餐饮","未关联","18.2","晚餐"
"2026年05月19日","支出","餐饮","未关联","7.9","水"
"2026年05月18日","支出","餐饮","未关联","12","午餐"
